id,sector,aislacion,calefactor,humedad,consumo,velocidad,temperatura
1,1,0,11.1824938930095,15.525923388766,29.8779922748864,21.7444532144732,-1.72330928281499
2,0,0,13.404519399208,14.653695910484,28.6495348547708,24.7513798099048,1.63170705854045
3,1,0,0.0957506941631436,12.1212384675155,23.5547464962305,23.33631852418,-2.45038511285891
4,1,0,2.30138062033802,13.8377126648381,26.3364888942525,23.3475376611267,-1.66699422865499
5,2,0,2.33839309308678,13.9843734405544,26.7731276586815,36.6126449728628,5.08572296888648
6,2,1,7.6610615055544,12.2179681685265,9.1169289657316,30.172598647361,3.89512454312134
7,2,0,5.60157663298996,8.74605447317093,17.6725052612056,25.105947817822,1.83383932899096
8,1,1,16.6418538235021,15.5494171288342,9.26401536059453,inf,1.08722410156933
9,1,0,7.69567950501343,12.3508840574944,22.3638875315432,23.2572822429422,-0.354028246554983
10,1,1,0.537336375663351,11.8382308872283,10.4547658684069,29.6361815229801,0.418361157551307
11,2,0,34.2178091390019,16.3707729942146,29.2162152848007,23.3231007431744,0.296374671599415
12,2,0,2.61022657621652,16.4183572090096,30.2637688568566,27.2114584376472,3.60730925493687
13,2,0,9.73437757189286,18.6194509428153,31.8951767124405,29.0768046752971,4.08964379796383
14,1,0,17.3325064397397,15.2080337159344,25.3709009426813,20.785923745804,-1.63820287592897
15,2,0,3.33636668045074,17.8238661765473,32.3890357798318,25.1935696205411,2.58735113383433
16,2,0,5.51228164229542,17.9106558277895,32.381785949804,22.8100351824956,2.01815244319788
17,1,0,16.0840133382919,14.9780857318945,27.086362937439,36.1678291722252,-0.470951842748299
18,1,1,2.77951711323112,8.68334268947205,8.58471840726257,23.6804928444589,-0.820663020071832
19,2,0,4.21348434872925,12.5570178708164,23.1974615236567,22.1500404131123,2.94895146389136
20,2,0,15.4516760008109,11.9860229538146,23.8249535716924,28.2971164581056,3.38026811076563
21,2,0,19.2000597148182,15.7398850767469,30.064451282048,21.6237256440883,2.81832104279229
22,1,1,0.561400819887338,14.939010541306,11.3454170896743,29.7218996392817,0.374639021320371
23,2,0,0.0811611455172653,12.8250860327801,25.5875008171296,24.385438329762,2.51675341900596
24,2,1,5.54692457895726,13.2103751227124,9.50368631036626,32.213471162576,4.0315532978205
25,2,1,4.92197275161743,12.0837081497675,9.90387287475891,26.5478587069188,2.38479654716467
26,0,0,35.4454443396485,11.1690904474057,19.5433110311312,20.8076329058207,2.39638599170262
27,0,1,20.9228734257345,13.84582741635955,9.23231984139881,30.7690008656353,3.51385767115177
28,0,0,10.1205395530434,15.2627092610986,28.3919675903323,28.1706246013842,4.26699471259672
29,2,1,2.77417241115527,14.7000208727465,8.27664000760718,inf,2.02881549097185
30,0,0,0.102315712720156,11.2502305645351,20.5957515947677,25.0316141809909,1.48097467809743
31,1,0,0.707205017097294,16.2290760448478,29.6409368310547,27.1794186714072,1.0493552755131
32,1,0,27.283652628443,16.3240394452653,29.9461927126123,23.7376285716529,-1.08143478668316
33,2,0,0.0359469478257271,11.7824770493378,23.8063811096872,19.0217058049779,0.873229420212421
34,0,0,8.22511460271795,16.474342712816,28.5042664133704,23.1945278017965,2.73428364379812
35,1,0,8.35028891409648,15.096275414385,28.5009138613616,25.8715471144629,-0.122417331982393
36,0,0,15.1103031999412,13.1429443916056,22.1363194676742,37.2473190668572,2.24556411100902
37,0,0,14.1494734390619,14.0718503887227,24.7962790931378,27.0131607888151,2.14493148638705
38,1,1,18.5829688600245,11.6850959834816,8.9518721982911,32.5378691600975,-0.823024556704207
39,2,1,12.4851905922861,13.6530552570556,9.25525904131505,20.7028795283926,0.475491370207402
40,2,0,1.3640623120591,12.0485213169261,21.9326948082308,32.464588829039,5.13982597824515
41,2,0,17.6903847969117,12.4345622393298,25.0137877871842,32.9316516039317,3.7978393840095
42,0,0,6.66170362848788,14.7385838954583,26.8367419662795,21.7182729329709,2.51415894696289
43,2,1,10.7541803452642,17.5223131523613,10.1983368559073,23.4814395267021,2.22910370535145
44,2,0,4.53582160640508,12.9298497733418,23.9821409103195,26.398640189472,2.70101873673063
45,1,1,10.9309696215661,17.7057711585758,10.7589389684713,39.1960583995881,1.67689190243086
46,2,1,21.7260904783819,18.5711684888001,11.2631599513949,25.1785013289548,2.26152265573243
47,2,1,1.35340039530913,12.932655245693,9.03402322335543,34.9216194907554,6.34811601528426
48,2,1,30.9783831553302,13.335297585078,8.04908900493598,24.4712738115149,2.30349357782386
49,0,0,2.92637262346664,15.7761184778431,27.8436514672095,23.8618612195812,2.37597934883013
50,2,0,6.58908422105014,9.565598607603,20.2084550075697,27.1295958923313,3.30728376945204
